Date,Name
22-03-2008,Holi
23-03-2008,Easter Day
06-04-2008,Ugadi
06-04-2008,Gudi Padwa
07-04-2008,Chaitra Sukhladi
13-04-2008,Rama Navami
13-04-2008,Vaisakhi
18-04-2008,Mahavir Jayanti
20-04-2008,First day of Passover
01-05-2008,May Day
08-05-2008,Birthday of Ravindranath
11-05-2008,Mother's Day
20-05-2008,Buddha Purnima/Vesak
15-06-2008,Father's Day
21-06-2008,June Solstice
04-07-2008,Rath Yatra
17-07-2008,Hazarat Ali's Birthday
03-08-2008,Friendship Day
15-08-2008,Independence Day
16-08-2008,Raksha Bandhan (Rakhi)
19-08-2008,Parsi New Year
24-08-2008,Janmashtami
24-08-2008,Janmashtami (Smarta)
03-09-2008,Ganesh Chaturthi/Vinayaka Chaturthi
12-09-2008,Onam
22-09-2008,September Equinox
26-09-2008,Jamat Ul-Vida
30-09-2008,First Day of Sharad Navratri
02-10-2008,Mahatma Gandhi Jayanti
02-10-2008,Ramzan Id/Eid-ul-Fitar
05-10-2008,First Day of Durga Puja Festivities
06-10-2008,Maha Saptami
07-10-2008,Maha Ashtami
09-10-2008,Dussehra
14-10-2008,Maharishi Valmiki Jayanti
17-10-2008,Karaka Chaturthi (Karva Chauth)
28-10-2008,Diwali/Deepavali
29-10-2008,Govardhan Puja
30-10-2008,Bhai Duj
31-10-2008,Halloween
04-11-2008,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
13-11-2008,Guru Nanak Jayanti
24-11-2008,Guru Tegh Bahadur's Martyrdom Day
09-12-2008,Bakr Id/Eid ul-Adha
21-12-2008,December Solstice
22-12-2008,First Day of Hanukkah
24-12-2008,Christmas Eve
25-12-2008,Christmas
29-12-2008,Last day of Hanukkah
31-12-2008,New Year's Eve
01-01-2009,New Year's Day
05-01-2009,Guru Govind Singh Jayanti
14-01-2009,Pongal
14-01-2009,Makar Sankranti
26-01-2009,Republic Day
26-01-2009,Chinese New Year
31-01-2009,Vasant Panchami
09-02-2009,Guru Ravidas Jayanti
14-02-2009,Valentine's Day
19-02-2009,Shivaji Jayanti
22-02-2009,Maharishi Dayanand Saraswati Jayanti
23-02-2009,Maha Shivaratri/Shivaratri
09-03-2009,Milad un-Nabi/Id-e-Milad
11-03-2009,Holi
20-03-2009,March Equinox
27-03-2009,Chaitra Sukhladi
27-03-2009,Ugadi
27-03-2009,Gudi Padwa
03-04-2009,Rama Navami
07-04-2009,Mahavir Jayanti
09-04-2009,First day of Passover
09-04-2009,Maundy Thursday
10-04-2009,Good Friday
12-04-2009,Easter Day
14-04-2009,Vaisakhi
01-05-2009,May Day
08-05-2009,Buddha Purnima/Vesak
09-05-2009,Birthday of Ravindranath
10-05-2009,Mother's Day
21-06-2009,Father's Day
21-06-2009,June Solstice
24-06-2009,Rath Yatra
07-07-2009,Hazarat Ali's Birthday
07-07-2009,Guru Purnima
02-08-2009,Friendship Day
05-08-2009,Raksha Bandhan (Rakhi)
13-08-2009,Janmashtami (Smarta)
14-08-2009,Janmashtami
15-08-2009,Independence Day
21-08-2009,Parsi New Year
23-08-2009,Ganesh Chaturthi/Vinayaka Chaturthi
02-09-2009,Onam
16-09-2009,Jamat Ul-Vida
19-09-2009,First Day of Sharad Navratri
21-09-2009,Ramzan Id/Eid-ul-Fitar
23-09-2009,September Equinox
24-09-2009,First Day of Durga Puja Festivities
25-09-2009,Maha Saptami
26-09-2009,Maha Ashtami
28-09-2009,Dussehra
02-10-2009,Mahatma Gandhi Jayanti
04-10-2009,Maharishi Valmiki Jayanti
07-10-2009,Karaka Chaturthi (Karva Chauth)
17-10-2009,Diwali/Deepavali
18-10-2009,Govardhan Puja
19-10-2009,Bhai Duj
24-10-2009,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
31-10-2009,Halloween
02-11-2009,Guru Nanak Jayanti
24-11-2009,Guru Tegh Bahadur's Martyrdom Day
28-11-2009,Bakr Id/Eid ul-Adha
12-12-2009,First Day of Hanukkah
19-12-2009,Last day of Hanukkah
21-12-2009,December Solstice
24-12-2009,Christmas Eve
25-12-2009,Christmas
28-12-2009,Muharram/Ashura
31-12-2009,New Year's Eve
01-01-2010,New Year's Day
05-01-2010,Guru Govind Singh Jayanti
14-01-2010,Pongal
14-01-2010,Makar Sankranti
20-01-2010,Vasant Panchami
26-01-2010,Republic Day
08-02-2010,Maharishi Dayanand Saraswati Jayanti
12-02-2010,Maha Shivaratri/Shivaratri
14-02-2010,Chinese New Year
14-02-2010,Valentine's Day
19-02-2010,Shivaji Jayanti
27-02-2010,Milad un-Nabi/Id-e-Milad
01-03-2010,Holi
16-03-2010,Chaitra Sukhladi
16-03-2010,Ugadi
16-03-2010,Gudi Padwa
20-03-2010,March Equinox
24-03-2010,Rama Navami
30-03-2010,First day of Passover
01-04-2010,Maundy Thursday
02-04-2010,Good Friday
04-04-2010,Easter Day
14-04-2010,Vaisakhi
28-04-2010,Mahavir Jayanti
01-05-2010,May Day
09-05-2010,Mother's Day
09-05-2010,Birthday of Ravindranath
27-05-2010,Buddha Purnima/Vesak
20-06-2010,Father's Day
21-06-2010,June Solstice
26-06-2010,Hazarat Ali's Birthday
13-07-2010,Rath Yatra
25-07-2010,Guru Purnima
01-08-2010,Friendship Day
15-08-2010,Independence Day
19-08-2010,Parsi New Year
23-08-2010,Onam
24-08-2010,Raksha Bandhan (Rakhi)
01-09-2010,Janmashtami (Smarta)
02-09-2010,Janmashtami
10-09-2010,Ramzan Id/Eid-ul-Fitar
10-09-2010,Jamat Ul-Vida
11-09-2010,Ganesh Chaturthi/Vinayaka Chaturthi
23-09-2010,September Equinox
02-10-2010,Mahatma Gandhi Jayanti
08-10-2010,First Day of Sharad Navratri
13-10-2010,First Day of Durga Puja Festivities
14-10-2010,Maha Saptami
15-10-2010,Maha Ashtami
17-10-2010,Dussehra
22-10-2010,Maharishi Valmiki Jayanti
26-10-2010,Karaka Chaturthi (Karva Chauth)
31-10-2010,Halloween
05-11-2010,Diwali/Deepavali
06-11-2010,Govardhan Puja
07-11-2010,Bhai Duj
11-11-2010,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
17-11-2010,Bakr Id/Eid ul-Adha
21-11-2010,Guru Nanak Jayanti
24-11-2010,Guru Tegh Bahadur's Martyrdom Day
02-12-2010,First Day of Hanukkah
09-12-2010,Last day of Hanukkah
17-12-2010,Muharram/Ashura
22-12-2010,December Solstice
24-12-2010,Christmas Eve
25-12-2010,Christmas
31-12-2010,New Year's Eve
01-01-2011,New Year's Day
05-01-2011,Guru Govind Singh Jayanti
15-01-2011,Pongal
15-01-2011,Makar Sankranti
26-01-2011,Republic Day
03-02-2011,Chinese New Year
08-02-2011,Vasant Panchami
14-02-2011,Valentine's Day
16-02-2011,Milad un-Nabi/Id-e-Milad
18-02-2011,Guru Ravidas Jayanti
19-02-2011,Shivaji Jayanti
27-02-2011,Maharishi Dayanand Saraswati Jayanti
02-03-2011,Maha Shivaratri/Shivaratri
19-03-2011,Holika Dahana
20-03-2011,Holi
21-03-2011,March Equinox
04-04-2011,Chaitra Sukhladi
04-04-2011,Ugadi
04-04-2011,Gudi Padwa
12-04-2011,Rama Navami
14-04-2011,Vaisakhi
14-04-2011,Ambedkar Jayanti
16-04-2011,Mahavir Jayanti
19-04-2011,First day of Passover
21-04-2011,Maundy Thursday
22-04-2011,Good Friday
24-04-2011,Easter Day
01-05-2011,May Day
08-05-2011,Mother's Day
09-05-2011,Birthday of Ravindranath
17-05-2011,Buddha Purnima/Vesak
16-06-2011,Hazarat Ali's Birthday
19-06-2011,Father's Day
21-06-2011,June Solstice
03-07-2011,Rath Yatra
15-07-2011,Guru Purnima
07-08-2011,Friendship Day
13-08-2011,Raksha Bandhan (Rakhi)
15-08-2011,Independence Day
19-08-2011,Parsi New Year
22-08-2011,Janmashtami
22-08-2011,Janmashtami (Smarta)
26-08-2011,Jamat Ul-Vida
31-08-2011,Ramzan Id/Eid-ul-Fitar
01-09-2011,Ganesh Chaturthi/Vinayaka Chaturthi
09-09-2011,Onam
23-09-2011,September Equinox
28-09-2011,First Day of Sharad Navratri
02-10-2011,Mahatma Gandhi Jayanti
02-10-2011,First Day of Durga Puja Festivities
03-10-2011,Maha Saptami
04-10-2011,Maha Ashtami
06-10-2011,Dussehra
11-10-2011,Maharishi Valmiki Jayanti
15-10-2011,Karaka Chaturthi (Karva Chauth)
26-10-2011,Diwali/Deepavali
27-10-2011,Govardhan Puja
28-10-2011,Bhai Duj
31-10-2011,Halloween
01-11-2011,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
07-11-2011,Bakr Id/Eid ul-Adha
10-11-2011,Guru Nanak Jayanti
24-11-2011,Guru Tegh Bahadur's Martyrdom Day
06-12-2011,Muharram/Ashura
21-12-2011,First Day of Hanukkah
22-12-2011,December Solstice
24-12-2011,Christmas Eve
25-12-2011,Christmas
28-12-2011,Last day of Hanukkah
31-12-2011,New Year's Eve
01-01-2012,New Year's Day
05-01-2012,Guru Govind Singh Jayanti
15-01-2012,Pongal
15-01-2012,Makar Sankranti
23-01-2012,Chinese New Year
26-01-2012,Republic Day
28-01-2012,Vasant Panchami
05-02-2012,Milad un-Nabi/Id-e-Milad
07-02-2012,Guru Ravidas Jayanti
14-02-2012,Valentine's Day
16-02-2012,Maharishi Dayanand Saraswati Jayanti
19-02-2012,Shivaji Jayanti
20-02-2012,Maha Shivaratri/Shivaratri
07-03-2012,Holika Dahana
08-03-2012,Holi
20-03-2012,March Equinox
23-03-2012,Chaitra Sukhladi
23-03-2012,Ugadi
23-03-2012,Gudi Padwa
01-04-2012,Rama Navami
05-04-2012,Maundy Thursday
05-04-2012,Mahavir Jayanti
06-04-2012,Good Friday
07-04-2012,First day of Passover
08-04-2012,Easter Day
13-04-2012,Vaisakhi
14-04-2012,Mesadi / Vaisakhadi
14-04-2012,Ambedkar Jayanti
01-05-2012,May Day
06-05-2012,Buddha Purnima/Vesak
08-05-2012,Birthday of Ravindranath
13-05-2012,Mother's Day
04-06-2012,Hazarat Ali's Birthday
17-06-2012,Father's Day
21-06-2012,Rath Yatra
21-06-2012,June Solstice
03-07-2012,Guru Purnima
02-08-2012,Raksha Bandhan (Rakhi)
05-08-2012,Friendship Day
09-08-2012,Janmashtami (Smarta)
10-08-2012,Janmashtami
15-08-2012,Independence Day
17-08-2012,Jamat Ul-Vida
18-08-2012,Parsi New Year
20-08-2012,Ramzan Id/Eid-ul-Fitar
29-08-2012,Onam
19-09-2012,Ganesh Chaturthi/Vinayaka Chaturthi
22-09-2012,September Equinox
02-10-2012,Mahatma Gandhi Jayanti
16-10-2012,First Day of Sharad Navratri
20-10-2012,First Day of Durga Puja Festivities
21-10-2012,Maha Saptami
22-10-2012,Maha Ashtami
24-10-2012,Dussehra
27-10-2012,Bakr Id/Eid ul-Adha
29-10-2012,Maharishi Valmiki Jayanti
31-10-2012,Halloween
02-11-2012,Karaka Chaturthi (Karva Chauth)
12-11-2012,Naraka Chaturdasi
13-11-2012,Diwali/Deepavali
14-11-2012,Govardhan Puja
15-11-2012,Bhai Duj
19-11-2012,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
24-11-2012,Guru Tegh Bahadur's Martyrdom Day
25-11-2012,Muharram/Ashura
28-11-2012,Guru Nanak Jayanti
09-12-2012,First Day of Hanukkah
16-12-2012,Last day of Hanukkah
21-12-2012,December Solstice
24-12-2012,Christmas Eve
25-12-2012,Christmas
31-12-2012,New Year's Eve
01-01-2013,New Year's Day
14-01-2013,Pongal
14-01-2013,Makar Sankranti
18-01-2013,Guru Govind Singh Jayanti
25-01-2013,Milad un-Nabi/Id-e-Milad
26-01-2013,Republic Day
10-02-2013,Chinese New Year
14-02-2013,Vasant Panchami
14-02-2013,Valentine's Day
19-02-2013,Shivaji Jayanti
23-02-2013,Maharishi Dayanand Saraswati Jayanti
25-02-2013,Guru Ravidas Jayanti
10-03-2013,Maha Shivaratri/Shivaratri
20-03-2013,March Equinox
26-03-2013,First day of Passover
26-03-2013,Holika Dahana
27-03-2013,Holi
28-03-2013,Maundy Thursday
29-03-2013,Good Friday
31-03-2013,Easter Day
11-04-2013,Chaitra Sukhladi
11-04-2013,Ugadi
11-04-2013,Gudi Padwa
